Cities,Abbr
"Alexandria, Northern Territory, Australia",AXL
"Alexandroupolis, Greece",AXD
"Alfujairah (Fujairah), United Arab Emirates",FJR
"Alger (Algiers) [Houari Boumediene], Algeria",ALG
"Alghero, Sardinia [Fertilia], Italy",AHO
"Algona, IA [Algona Municipal Airport], USA",AXG
"Alhegro/Sassari, Sardinia, Italy",QSS
"Ali Sabieh, Djibouti",AII
"Alicante, Spain",ALC
"Alice Arm/Silver City, BC Canada",ZAA
"Alice Springs, Northern Territory, Australia",ASP
"Alice, TX [Alice International Airport], USA",ALI
"Aliceville, AL [George Downer Airport], USA",AIV
"Alitak, AK [Alitak Seaplane Base], USA",ALZ
"Aljouf, Yemen",AJO
"Allahabad, India",IXD
"Allakaket, AK [Allakaket Airport], USA",AET
"Alldays, South Africa",ADY
"Allentown, PA [Allentown-Bethlehem-Easton Airport], USA",ABE
"Alliance, NE [Alliance Municipal Airport], USA",AIA
"Alma, MI [Gratiot Community Airport], USA",AMN
"Alma, QC [Alma Airport], Canada",YTF
"Almaty (Alma Ata), Alma Ata, Kazakhstan",ALA
"Almelo, Netherlands",QYL
"Almenara, MG, Brazil",AMJ
"Almeria, Spain",LEI
"Along, India",IXV
"Alor Island, Indonesia",ARD
"Alor Setar, Malaysia",AOR
"Alowe, Gabon",AWE
"Alpe d'Huez, France",AHZ
"Alpena, MI [Alpena County Regional Airport], USA",APN
"Alpha, Queensland, Australia",ABH
"Alpine, TX [Alpine-Casparis Municipal Airport], USA",ALE
"Alroy Downs, Northern Territory, Australia",AYD
"Alta Floresta, Brazil",AFL
"Alta Lake, BC, Canada",YAE
"Alta, Norway",ALF
"Altamira, PA, Brazil",ATM
"Altay, China",AAT
"Altenburg, Germany",AOC
"Altenrhein [Rorshach], Switzerland",ACH
"Alto do Parnaiba, PI, Brazil",APY
"Alto Molocue, Mozambique",AME
"Alto Palena, Chile",WAP
"Alto Rio Senguerr, Argentina",ARR
"Alton Downs, South Australia, Australia",AWN
"Alton, IL/St. Louis, MO [St. Louis Regional Airport], USA",ALN
"Altoona, PA [Altoona-Blair County Airport], USA",AOO
"Altus, OK [Altus Air Force Base], USA",LTS
"Altus, OK [Altus Municipal Airport], USA",AXS
"Alula, Somalia",ALU
"Alyeska/Girdwood, AK [Girdwood Airport], USA",AQY
"Ama, Papua New Guinea",AMF
"Amahai, Indonesia",AHI
"Amalfi, Colombia",AFI
"Amami O Shima, Japan",ASJ
"Amanab, Papua New Guinea",AMU
"Amarillo, TX [Amarillo International Airport], USA",AMA
"Amarillo, TX [Tradewind Airport], USA",TDW
"Amata, Northern Territory, Australia",AMT
"Amazon Bay, Papua New Guinea",AZB
"Ambanja, Madagascar",IVA
"Ambato, Ecuador",ATF
"Ambatolahy, Madagascar",AHY
"Ambatomainty, Madagascar",AMY
"Ambatondrazaka, Madagascar",WAM
"Ambilobe, Madagascar",AMB
"Ambler, AK [Ambler Airport], USA",ABL
"Ambolin, Papua New Guinea",AMG
"Ambon [Pattimura], Indonesia",AMQ
"Amboseli, Kenya",ASV
"Ambunti, Papua New Guinea",AUJ
"Amchitka, AK [Amchitka Island Airport], USA",AHT
"Amchitka, Chad",AMC
"Amderma, Arkhangelsk, Russia",AMV
"American River, South Australia, Australia",RCN
"Americus, GA [Souther Field], USA",ACJ
"Amersfoort, Netherlands",QYM
"Amery, WI [Amery Municipal Airport], USA",AHH
"Ames, IA [Ames Municipal Airport], USA",AMW
"Amityville, NY, USA",AYZ
"Amman [Marka], Jordan",ADJ
"Amman [Queen Alia International], Jordan",AMM
"Ammaroo, Northern Territory, Australia",AMX
"Amook, AK [Amook Bay Seaplane Base], USA",AOS
"Amos, QC [Amos Municipal Airport], Canada",YEY
"Ampanihy, Madagascar",AMP
"Amritsar, India",ATQ
"Amsterdam [Schiphol], Netherlands",AMS
"Amsterdam [Schiphol], Netherlands",SPL
"Anaa, French Polynesia",AAA 
"Anaco, Venezuela",AAO
"Anacortes, WA [Anacortes Airport], USA",OTS
"Anacortes, WA, USA",ACS
"Anadyr, Magadan, Russia",DYR
"Anaheim/Disneyland, CA, USA",ANA
"Anahim Lake, BC [Anahim Lake Aerodrome], Canada",YAA
"Anaktuvuk Pass, AK [Anaktuvuk Pass Airport], USA",AKP
"Analalava, Madagascar",HVA
"Anand, India",QNB
"Anapa, Russia",AAQ
"Anapolis, GO, Brazil",APS
"Anchorage, AK [Anchorage International Airport], USA",ANC
"Anchorage, AK [Elmendorf Air Force Base], USA",EDF
"Anchorage, AK [Lake Hood Seaplane Base], USA",LHD
"Anchorage, AK [Merrill Field], USA",MRI
"Ancona, Italy",AOI
"Ancud, Chile",ZUD
"Andahuaylas, Peru",ANS
"Andamooka, South Australia, Australia",ADO
"Andapa, Madagascar",ZWA
"Anderson, IN [Anderson Municipal Airport], USA",AID
"Anderson, SC [Anderson County Airport], USA",AND
"Andes, Colombia",ADN
"Andijon (Andizhan), Andijon, Uzbekhistan",AZN
"Andorra la Vella, Andorra",ALV
"Andover, England, United Kingdom",ADV
"Andoya [Andoya/Andenes Airport], Norway",ANX
"Andravida, Greece",GVD
"Andrews, SC [Andrews Municipal Airport], USA",ADR
"Andriamena, Madagascar",WAD
"Andros Town, Andros [International], Bahamas",ASD
"Andulo, Angola",ANL
"Anegada, British Virgin Islands",NGD
"Aneityum, Vanuatu",AUY
"Angel Fire, NM [Angel Fire Airport], USA",AXX
"Angelholm (Helsingborg), Sweden",AGH
"Angers, France",ANE
"Anggi, Indonesia",AGD
"Angleton/Lake Jackson, TX [Brazoria County Airport], USA",LJN
"Angling Lake, MB, Canada",YAX
"Angoche (Antonio Enes), Mozambique",ANO
"Angola, IN [Tri-State Steuben County Airport], USA",ANQ
"Angoon, AK [Angoon Seaplane Base], USA",AGN
"Angoram, Papua New Guinea",AGG
"Angouleme, France",ANG
"Anguganak, Papua New Guinea",AKG
"Anguilla [The Valley/Wallblake], Anguilla",AXA
"Anguilla/Rolling Fork, MS [Rollang Field], USA",RFK
"Angus Downs, Northern Territory, Australia",ANZ
"Aniak, AK [Aniak Airport], USA",ANI
"Anita Bay, AK, USA",AIB
"Aniwa, Vanuatu",AWD
"Anjouan, Comoros",AJN
"Ankang, China",AKA
"Ankara [Esenboga], Turkey",ANK
"Ankara [Esenboga], Turkey",ESB
"Ankavandra, Madagascar",JVA
"Ankazoabo, Madagascar",WAK
"Ann Arbor, MI [Ann Arbor Municipal Airport], USA",ARB
"Annaba [El Mellah], Algeria",AAE
"Annai, Guyana",NAI
"Annanberg, Papua New Guinea",AOB
"Annapolis, MD [Lee Airport], USA",ANP
"Annecy, France",NCY
"Annette, AK [Annette Island Airport], USA",ANN
"Anniston, AL [Anniston Metropolitan Airport], USA",ANB
"Annmasse, Switzerland",QNJ
"Anqing, China",AQG
"Anqmaqssalik, Greenland",AGM
"Anshan, China",AOG
"Anta, Peru",ATA
"Antalaha, Madagascar",ANM
"Antalya, Turkey",AYT
"Antananarivo [Ivato], Madagascar",TNR
"Anthony Lagoon, Northern Territory, Australia",AYL
"Anthony, KS [Anthony Municipal Airport], USA",ANY
"Antigua (Saint John's), Antigua and Barbuda",ANU
"Antlers, OK [Antlers Municipal Airport], USA",ATE
"Antofagasta [Cerro Moreno], Chile",ANF
"Antsalova, Madagascar",WAQ
"Antsirabe, Madagascar",ATJ
"Antsiranana (Diego Suarez) [Arrachart], Madagascar",DIE
"Antsohihy, Madagascar",WAI
"Antwerpen (Antwerp) [Deurne], Belgium",ANR
"Anuha Island [Anuha Island Resort], Solomon Islands",ANH
"Anuradhapura, Sri Lanka",ADP
"Anvik, AK [Anvik Airport], USA",ANV
"Anyang, China",AYN
"Aomori, Japan",AOJ
"Apalachicola, FL [Apalachicola Municipal Airport], USA",AAF
"Apalapsili, New Guinea, Indonesia",AAS
"Apartado, Colombia",APO
"Apataki, Tuamotu Archipelago, French Polynesia",APK
"Apatzingan, Mexico",AZG
"Apeldoorn, Netherlands",QYP
"Apia [Fabali Si], Western Samoa",FGI
"Apia [Faleolo], Western Samoa",APW
"Apiay, Colombia",API
"Apolo, Bolivia",APB
"Appian Line, Italy",APJ
"Apple Valley, CA [Apple Valley Airport], USA",APV
"Appleton, WI [Outagamie County Airport], USA",ATW
"April River, Papua New Guinea",APR
"Apucarana, PR, Brazil",APU
"Aqaba, Jordan",AQJ
"Aqmola (Tselinograd), Aqmola, Kazakhstan",TSE
"Aqtan (Shevchenko), Mangghystan, Kazakhstan",SCO
"Aqtobe (Aktyubinsk), Aqtobe, Kazakhstan",AKX
"Aracaju, SE, Brazil",AJU
"Aracatuba, SP, Brazil",ARU
"Arad, Romania",ARW
"Aragarcas, GO, Brazil",ARS
"Aragip, Papua New Guinea",ARP
"Araguaina, TO, Brazil",AUX
"Aramac, Queensland, Australia",AXC
"Aranuka, Kiribati",AAK
"Arapahoe, NE [Arapahoe Municipal Airport], USA",AHF
"Arapongas, PR, Brazil",APX
"Arar, Saudi Arabia",RAE
"Araracuara, Colombia",ACR
"Araraquara, SP, Brazil",AQA
"Ararat, Victoria, Australia",ARY
"Arauca, Colombia",AUC
"Arauquita, Colombia",ARQ
"Arawa, Ethiopia",RAW
"Araxa, MG, Brazil",AAX
"Araxos/Patras, Greece",GPA
"Arba Mintch, Ethiopia",AMH
"Arboletas, Colombia",ARO
"Arcadia, CA [Methodist Hospital Heliport], USA",JAR
"Arcata/Eureka, CA [Arcata Airport], USA",ACV
"Arcos, MG, Brazil",QRK
"Arctic Bay, NT, Canada",YAB
"Arctic Red River, NT [Arctic Red River Water Aerodrome], Canada",ZRR
"Arctic Village, AK [Arctic Village Airport], USA",ARC
"Ardmore, New Zealand",AMZ
"Ardmore, OK [Ardmore Municipal Airport], USA",ADM
"Ardmore, OK [Ardmore Municipal Airport], USA",AHD
"Arequipa [Rodriguez Ballon], Peru",AQP
"Argentia, NF [Argentia Naval Air Station], Canada",NWP
"Argyle Downs, Western Australia, Australia",AGY
"Aribinda, Burkina Faso",XAR
"Arica [Chacalluta], Chile",ARI
"Arica, Colombia",ACM
"Aripuana, MT, Brazil",AIR
"Ariquemes, RO, Brazil",AQM
"Arkalyk, Kazakhstan",AYK
"Arkhangelsk, Arkhangelsk, Russia",ARH
"Arlington Heights, IL [U.S. Army Heliport], USA",JLH
"Arlington, TX [Arlington Municipal Airport], USA",WSK
"Arlit, Niger",RLT
"Arly, Burkina Faso",ARL
"Armenia, Colombia",AXM
"Armidale, New South Wales, Australia",ARM
"Armstrong, ON [Armstrong Airport], Canada",YYW
"Arnes, MB [Arnes Aerodrome], Canada",YNR
"Arnhem, Netherlands",QAR
"Arno, Marshall Islands",AMR
"Aroa, Papua New Guinea",AOA
"Arona, Papua New Guinea",AON
"Arorae Island, Kiribati",AIS
"Arrabury, Queensland, Australia",AAB
"Arraias, GO, Brazil",AAI
"Arrecife, Canary Islands [Lanzarote], Spain",ACE
"Arso, Indonesia",ARJ
"Arsuk, Greenland",JRK
"Artesia, NM [Artesia Municipal Airport], USA",ATS
"Arthur's Town, Cat, Bahamas",ATC
"Artigas, Uruguay",ATI
"Arua, Uganda",RUA
"Aruba (Oranjestad) [Queen Beatrix Int'l Airport], Aruba",AUA
"Arunka, Kiribati",RNK
"Arusha, Tanzania",ARK
"Arutha, French Polynesia",AXR
"Arvidsjaur, Sweden",AJR
"Asahikawa, Japan",AKJ
"Asapa, Papua New Guinea",APP
"Asau, Western Samoa",AAU
"Asbestos Hill, QC [Asbestos Aerodrome], Canada",YAF
"Asbury Park/Fort Monmouth, NJ [Charles Wood Helipad], USA",ARX
"Ascension Island, St. Helena",ASI
"Ascension, Bolivia",ASC
"Ascona, Switzerland",ACO
"Aseki, Papua New Guinea",AEK
"Asela, Ethiopia",ALK
"Ash Flat, AR [Cherokee Village Airport], USA",CVK
"Ashburton, New Zealand",ASG
"Ashcroft, BC, Canada",YZA
"Asheville, NC [Asheville Regional Airport], USA",AVL
"Ashford, United Kingdom",LYM
"Ashgabat (Ashkhabad), Ahal, Turkmenistan",ASB
"Ashland, WI [John F. Kennedy Memorial Airport], USA",ASX
"Ashley, ND [Ashley Municipal Airport], USA",ASY
"Asirim, Papua New Guinea",ASZ
"Asmara [Yohannes IV], Eritrea",ASM
"Asosa, Ethiopia",ASO
"Aspen, CO [Aspen-Pitkin County Airport/Sardy Field], USA",ASE
"Assab, Eritrea",ASA
"Assis, SP, Brazil",AIF
"Assiut, Egypt",ATZ
"Astoria, OR [Port of Astoria Airport], USA",AST
"Astrakhan, Astrakhan, Russia",ASF
"Astraksetra, Indonesia",AKQ
"Astypalea Island, Greece",JTY
"Asuncion [Presidente Stroessner], Paraguay",ASU
"Aswan, Egypt",ASW
"Atalaya, Peru",ATG
"Atambua [Haliweni], Indonesia",ABU
"Ataq, Yemen",AXK
"Atar, Mauritania",ATR
"Atauro, Indonesia",AUT
"Atbara, Sudan",ATB
"Athens (Athinai) [Hellinikon International Airport], Greece",ATH
"Athens, GA [Athens/Ben Epps Airport], USA",AHN
"Athens, TN [McMinn County Airport], USA",MMI
"Athens/Albany, OH [Ohio University Airport], USA",ATO
"Ati, Chad",ATV
"Atibaia, SP, Brazil",QTA
"Atikokan, ON [Atikokan Municipal Airport], Canada",YIB
"Atiu, Cook Islands",AIU
"Atka, AK [Atka Airport], USA",AKB
"Atkamba, Papua New Guinea",ABP
"Atlanta (Marietta), GA [Galleria Heliport], USA",JGL
"Atlanta (Norcross), GA [Beaver Ruin Airport], USA",JAO
"Atlanta, GA [Atlanta Technology Park], USA",JAE
"Atlanta, GA [Dekalb-Peachtree Airport], USA",PDK
"Atlanta, GA [Fulton County Airport-Brown Field], USA",FTY
"Atlanta, GA [Hartsfield Heliport], USA",JAH
"Atlanta, GA [HartsfieldInternational Airport]",ATL
"Atlanta, GA [Perimeter], USA",JAJ
"Atlantic City, NJ [Atlantic City International Airport], USA",ACY
"Atlantic City, NJ [Atlantic City Municipal Airport/Bader Field], USA",AIY
"Atlantic City, NJ [Railway Station], USA",ZRA
"Atlantic City, NJ [Steel Pier Taj Mahal Heliport], USA",JSL
"Atlantic, IA [Atlantic Municipal Airport], USA",AIO
"Atmautluak, AK [Atmautluak Airport], USA",ATT
"Atoifi, Solomon Islands",ATD
"Atqasuk, AK [Atqasuk Airport], USA",ATK
"Atsugi, Japan",NJA
"Attawapiskat, ON [Attawapiskat Airport], Canada",YAT
"Attopeu, Laos",AOU
"Attu Island, AK [Casco Gove Coast Guard Station Airport], USA",ATU
"Atuona, Marquesas Islands, French Polynesia",AUQ
"Atyrau (Guryev), Atyrau, Kazakhstan",GUW
"Aua, Papua New Guinea",AUI
"Aub Rudeis, Egypt",AUE
"Aubenas, France",OBS
"Auburn, AL [Auburn-Opelika Robert G. Pitts Airport], USA",AUO
"Auburn, CA [Auburn Municipal Airport], USA",AUN
"Auburn/Lewiston, ME [Auburn/Lewiston Municipal Airport], USA",LEW
"Auckland [International], New Zealand",AKL
"Auckland [Mechanics Bay Seaplane Base], New Zealand",MHB
"Audubon, IA [Audubon County Airport], USA",ADU
"Augsburg, Germany",AGB
"Augusta, GA [Bush Field], USA",AGS
"Augusta, GA [Daniel Field], USA",DNL
"Augusta, ME [Augusta State Airport], USA",AUG
"Augustus Downs, Queensland, Australia",AUD
"Auki, Solomon Islands",AKS
"Aupaluk, QC, Canada",YPJ
"Aur Atoll, Marshall Islands",AUL
"Aurangabad, India",IXU
"Aurillac, France",AUR
"Aurukun Mission, Queensland, Australia",AUU
"Austin, MN [Austin Municipal Airport], USA",AUM
"Austin, NV [Austin Airport], USA",ASQ
"Austin, TX [Bergstrom Air Rescue Service Airport], USA",BSM
"Austin, TX [Camp Maybry], USA",MMR
"Austin, TX [Robert Mueller Municipal Airport], USA",AUS
"Austral Downs, Northern Territory, Australia",AWP
"Auvergne, Northern Territory, Australia",AVG
"Ava, MO [Ava Bill Martin Memorial Airport], USA",AOV
"Avalon (Catalina Island), CA [Catalina Airport], USA",AVX
"Avalon (Catalina Island), CA [Peebly Beach Seaplane Base], USA",SXC
"Avalon (Catalina Island), CA [Seaplane Base], USA",CIB
"Avalon (Catalina Island), CA Amphibious Terminal, USA",TWH
"Avarua [Rarotonga International Airport], Cook Islands",RAR
"Avellino, Italy",QVN
"Avenal, CA [Avenal Airport], USA",AVE
"Aviano [Aviano Air Base], Italy",AVB
"Avignon [Caumont], France",AVN
"Avon Park, FL [Avon Park Municipal Airport], USA",AVO
"Avon, CO, USA",AVC
"Avoriaz, France",AVF
"Avu Avu, Solomon Islands",AVU
"Awaba, Papua New Guinea",AWB
"Awar, Papua New Guinea",AWR
"Awaradam, Suriname",AAJ
"Awareh, Ethiopia",AWH
"Awassa, Ethiopia",AWA
"Axum, Ethiopia",AXU
"Ayacucho, Colombia",AYC
"Ayacucho, Peru",AYP
"Ayapel, Colombia",AYA
"Ayawasi, Indonesia",AYW
"Ayer/Fort Devens, MA [Moore Army Air Field], USA",AYE
"Ayers Rock, Northern Territory, Australia",AYQ
"Ayia Napa, Cyprus",QNP
"Ayr, Queensland, Australia",AYR
"Ba, Fiji",BFJ
"Babelegi, South Africa",HBL
"Babo, Indonesia",BXB
"Babolsar, Iran",BBL
"Baca Grande, CO, USA",BCJ
"Bacau, Romania",BCM
"Baco/Jinka, Ethiopia",BCO
"Bacolod, Philippines",BCD
"Badajoz [Talavera La Real], Spain",BJZ
"Bade, Indonesia",BXD
"Baden Baden [Railway Station], Germany",ZCC
"Badin, Pakistan",BDN
"Badu Island, Queensland, Australia",BDD
"Bafoussem, Cameroon",BFX
"Bagana, Philippines",BNQ
"Bagdogra, India",IXB
"Bage, RS, Brazil",BGX
"Baghdad [Metropolitan Area], Iraq",BGT
"Baghdad [Saddam International], Iraq",SDA
"Baghdad, Iraq",BGW
"Baglung, Nepal",BGL
"Bagotville, QC [Bagotville Airport], Canada",YBG
"Baguio, Philippines",BAG
"Bahar Dar, Ethiopia",BJR
"Bahawalnagar, Pakistan",WGB
"Bahawalpur, Pakistan",BHV
"Bahia Angeles, Mexico",BHL
"Bahia Blanca [Comandante Espora], Argentina",BHI
"Bahia Cupica, Colombia",BHF
"Bahia Solano, Colombia",BSC
"Bahrain [Muharraq International], Bahrain",BAH
"Bahregan, Iran",IAQ
"Baia de Caraquez, Ecuador",BHA
"Baia Mape, Romania",BAY
"Baibara, Papua New Guinea",BAP
"Baidoa, Somalia",BIB
"Baie-Comeau, QC [Baie-Comeau Airport], Canada",YBC
"Baie Johan Beetz, QC [B. J. B. Water Aerodrome], Canada",YBJ
"Baimuru, Papua New Guinea",VMU
"Bainbridge, GA [Decatur County Industrial Air Park], USA",BGE
"Baindoung, Papua New Guinea",BDZ
"Bairnsdale, Victoria, Australia",BSJ
"Baitadi, Nepal",BIT
"Baiyer River, Papua New Guinea",BYV
"Bajawa, Indonesia",BJW
"Bajhang, Nepal",BJH
"Bajone, Mozambique",BJN
"Bajura, Nepal",BJU
"Bakalalan, Sarawak, Malaysia",BKM
"Bakel, Senegal",BXE
"Baker City, OR [Baker City Municipal Airport], USA",BKE
"Baker Island, Baker Island",BAR
"Baker Lake, NT [Baker Lake Airport], Canada",YBK
"Bakersfield, CA [Meadows Field], USA",BFL
"Baki (Baku), Naxcivan, Azerbaijan",BAK
"Bakkafjordur, Iceland",BJD
"Bakouma, Central African Republic",BMF
"Balakovo, Saratov, Russia",BWO
"Balalae, Solomon Islands",BAS
"Balboa, Panama",BLB
"Balboa/Fort Kobbe [Howard Air Force Base], Panama",HOW
"Balcanoona, South Australia, Australia",LCN
"Baler, Philippines",BQA
"Balgo Hills, Western Australia, Australia",BQW
"Balhash, Kazakhstan",BXH
"Bali, Cameroon",BLC
"Bali, Papua New Guinea",BAJ
"Balikesir, Turkey",BZI
"Balikpapan [Sepinggan], Indonesia",BPN
"Balimo, Papua New Guinea",OPU
"Ballina, New South Wales, Australia",BNK
"Ballykelly, Northern Ireland, United Kingdom",BOL
"Balmaceda, Chile",BBA
"Balranald, New South Wales, Australia",BZD
"Balsas, MA, Brazil",BSS
"Baltimore, MD [Baltimore/Washington Int'l Airport], USA",BWI
"Baltimore, MD [Martin State Airport], USA",MTN
"Baltra Island, Galapagos, Ecuador",WGL
"Baltrum, Germany",BMR
"Balurghat, India",RGH
"Bamako [Senou], Mali",BKO
"Bambari, Central African Republic",BBY
"Bamburi, Kenya",BMQ
"Bamenda [Bali], Cameroon",BPC
"Bamerny, Iran",BMN
"Bamfield, BC [Bamfield Water Aerodrome], Canada",YBF
"Bamiyan, Afghanistan",BIN
"Bamu, Papua New Guinea",BMZ
"Ban Houei Sai, Laos",QUI
"Ban Mak Khaeng, Thailand",BAO
"Ban Me Thout, Vietnam",BMV
"Banaina, Indonesia",NAF
"Banda Aceh (Kuturaja) [Blang Bintang], Indonesia",BTJ
"Bandanaira, Indonesia",NDA
"Bandar Abbas, Iran",BND
"Bandar Lampung, Indonesia",TKG
"Bandar Lengeh, Iran",BDH
"Bandar Seri Begwan [International], Brunei",BWN
"Bandirma, Turkey",BDM
"Bandon, OR [Bandon State Airport], USA",BDY
"Bandundu, Zaire",FDU
"Bandung, Indonesia",BDO
"Banff, AB [Banff Airport], Canada",YBA
"Banfora, Burkina Faso",BNR
"Bangalore, India",BLR
"Bangassou, Central African Republic",BGU
"Bangkok [Don Muang International Airport], Thailand",BKK
"Bangor, ME [Bangor International Airport], USA",BGR
"Bangui [M'Poko], Central African Republic",BGF
"Banja Luka, Bosnia-Herzegovina",BNX
"Banjarmarsin [Syamsudin Noor], Indonesia",BDJ
"Banjul [Yundum], Gambia",BJL
