Cities	Countries	Abbr	
Alexandria	 MN [Chandler Field]	AXN	
Alexandria	 Northern Territory	AXL	
Alexandroupolis	 Greece	AXD	
Alfujairah (Fujairah)	 United Arab Emirates	FJR	
Alger (Algiers) [Houari Boumediene]	 Algeria	ALG	
Alghero	 Sardinia [Fertilia]	AHO	
Algona	 IA [Algona Municipal Airport]	AXG	
Alhegro/Sassari	 Sardinia	QSS	
Ali Sabieh	 Djibouti	AII	
Alicante	 Spain	ALC	
Alice Arm/Silver City	 BC Canada	ZAA	
Alice Springs	 Northern Territory	ASP	
Alice	 TX [Alice International Airport]	ALI	
Aliceville	 AL [George Downer Airport]	AIV	
Alitak	 AK [Alitak Seaplane Base]	ALZ	
Aljouf	 Yemen	AJO	
Allahabad	 India	IXD	
Allakaket	 AK [Allakaket Airport]	AET	
Alldays	 South Africa	ADY	
Allentown	 PA [Allentown-Bethlehem-Easton Airport]	ABE	
Alliance	 NE [Alliance Municipal Airport]	AIA	
Alma	 MI [Gratiot Community Airport]	AMN	
Alma	 QC [Alma Airport]	YTF	
Almaty (Alma Ata)	 Alma Ata	ALA	
Almelo	 Netherlands	QYL	
Almenara	 MG	AMJ	
Almeria	 Spain	LEI	
Along	 India	IXV	
Alor Island	 Indonesia	ARD	
Alor Setar	 Malaysia	AOR	
Alowe	 Gabon	AWE	
Alpe d'Huez	 France	AHZ	
Alpena	 MI [Alpena County Regional Airport]	APN	
Alpha	 Queensland	ABH	
Alpine	 TX [Alpine-Casparis Municipal Airport]	ALE	
Alroy Downs	 Northern Territory	AYD	
Alta Floresta	 Brazil	AFL	
Alta Lake	 BC	YAE	
Alta	 Norway	ALF	
Altamira	 PA	ATM	
Altay	 China	AAT	
Altenburg	 Germany	AOC	
Altenrhein [Rorshach]	 Switzerland	ACH	
Alto do Parnaiba	 PI	APY	
Alto Molocue	 Mozambique	AME	
Alto Palena	 Chile	WAP	
Alto Rio Senguerr	 Argentina	ARR	
Alton Downs	 South Australia	AWN	
Alton	 IL/St. Louis	ALN	 USA
Altoona	 PA [Altoona-Blair County Airport]	AOO	
Altus	 OK [Altus Air Force Base]	LTS	
Altus	 OK [Altus Municipal Airport]	AXS	
Alula	 Somalia	ALU	
Alyeska/Girdwood	 AK [Girdwood Airport]	AQY	
Ama	 Papua New Guinea	AMF	
Amahai	 Indonesia	AHI	
Amalfi	 Colombia	AFI	
Amami O Shima	 Japan	ASJ	
Amanab	 Papua New Guinea	AMU	
Amarillo	 TX [Amarillo International Airport]	AMA	
Amarillo	 TX [Tradewind Airport]	TDW	
Amata	 Northern Territory	AMT	
Amazon Bay	 Papua New Guinea	AZB	
Ambanja	 Madagascar	IVA	
Ambato	 Ecuador	ATF	
Ambatolahy	 Madagascar	AHY	
Ambatomainty	 Madagascar	AMY	
Ambatondrazaka	 Madagascar	WAM	
Ambilobe	 Madagascar	AMB	
Ambler	 AK [Ambler Airport]	ABL	
Ambolin	 Papua New Guinea	AMG	
Ambon [Pattimura]	 Indonesia	AMQ	
Amboseli	 Kenya	ASV	
Ambunti	 Papua New Guinea	AUJ	
Amchitka	 AK [Amchitka Island Airport]	AHT	
Amchitka	 Chad	AMC	
Amderma	 Arkhangelsk	AMV	
American River	 South Australia	RCN	
Americus	 GA [Souther Field]	ACJ	
Amersfoort	 Netherlands	QYM	
Amery	 WI [Amery Municipal Airport]	AHH	
Ames	 IA [Ames Municipal Airport]	AMW	
Amityville	 NY	AYZ	
Amman [Marka]	 Jordan	ADJ	
Amman [Queen Alia International]	 Jordan	AMM	
Ammaroo	 Northern Territory	AMX	
Amook	 AK [Amook Bay Seaplane Base]	AOS	
Amos	 QC [Amos Municipal Airport]	YEY	
Ampanihy	 Madagascar	AMP	
Amritsar	 India	ATQ	
Amsterdam [Schiphol]	 Netherlands	AMS	
Amsterdam [Schiphol]	 Netherlands	SPL	
Anaa	 French Polynesia	AAA 	
Anaco	 Venezuela	AAO	
Anacortes	 WA [Anacortes Airport]	OTS	
Anacortes	 WA	ACS	
Anadyr	 Magadan	DYR	
Anaheim/Disneyland	 CA	ANA	
Anahim Lake	 BC [Anahim Lake Aerodrome]	YAA	
Anaktuvuk Pass	 AK [Anaktuvuk Pass Airport]	AKP	
Analalava	 Madagascar	HVA	
Anand	 India	QNB	
Anapa	 Russia	AAQ	
Anapolis	 GO	APS	
Anchorage	 AK [Anchorage International Airport]	ANC	
Anchorage	 AK [Elmendorf Air Force Base]	EDF	
Anchorage	 AK [Lake Hood Seaplane Base]	LHD	
Anchorage	 AK [Merrill Field]	MRI	
Ancona	 Italy	AOI	
Ancud	 Chile	ZUD	
Andahuaylas	 Peru	ANS	
Andamooka	 South Australia	ADO	
Andapa	 Madagascar	ZWA	
Anderson	 IN [Anderson Municipal Airport]	AID	
Anderson	 SC [Anderson County Airport]	AND	
Andes	 Colombia	ADN	
Andijon (Andizhan)	 Andijon	AZN	
Andorra la Vella	 Andorra	ALV	
Andover	 England	ADV	
Andoya [Andoya/Andenes Airport]	 Norway	ANX	
Andravida	 Greece	GVD	
Andrews	 SC [Andrews Municipal Airport]	ADR	
Andriamena	 Madagascar	WAD	
Andros Town	 Andros [International]	ASD	
Andulo	 Angola	ANL	
Anegada	 British Virgin Islands	NGD	
Aneityum	 Vanuatu	AUY	
Angel Fire	 NM [Angel Fire Airport]	AXX	
Angelholm (Helsingborg)	 Sweden	AGH	
Angers	 France	ANE	
Anggi	 Indonesia	AGD	
Angleton/Lake Jackson	 TX [Brazoria County Airport]	LJN	
Angling Lake	 MB	YAX	
Angoche (Antonio Enes)	 Mozambique	ANO	
Angola	 IN [Tri-State Steuben County Airport]	ANQ	
Angoon	 AK [Angoon Seaplane Base]	AGN	
Angoram	 Papua New Guinea	AGG	
Angouleme	 France	ANG	
Anguganak	 Papua New Guinea	AKG	
Anguilla [The Valley/Wallblake]	 Anguilla	AXA	
Anguilla/Rolling Fork	 MS [Rollang Field]	RFK	
Angus Downs	 Northern Territory	ANZ	
Aniak	 AK [Aniak Airport]	ANI	
Anita Bay	 AK	AIB	
Aniwa	 Vanuatu	AWD	
Anjouan	 Comoros	AJN	
Ankang	 China	AKA	
Ankara [Esenboga]	 Turkey	ANK	
Ankara [Esenboga]	 Turkey	ESB	
Ankavandra	 Madagascar	JVA	
Ankazoabo	 Madagascar	WAK	
Ann Arbor	 MI [Ann Arbor Municipal Airport]	ARB	
Annaba [El Mellah]	 Algeria	AAE	
Annai	 Guyana	NAI	
Annanberg	 Papua New Guinea	AOB	
Annapolis	 MD [Lee Airport]	ANP	
Annecy	 France	NCY	
Annette	 AK [Annette Island Airport]	ANN	
Anniston	 AL [Anniston Metropolitan Airport]	ANB	
Annmasse	 Switzerland	QNJ	
Anqing	 China	AQG	
Anqmaqssalik	 Greenland	AGM	
Anshan	 China	AOG	
Anta	 Peru	ATA	
Antalaha	 Madagascar	ANM	
Antalya	 Turkey	AYT	
Antananarivo [Ivato]	 Madagascar	TNR	
Anthony Lagoon	 Northern Territory	AYL	
Anthony	 KS [Anthony Municipal Airport]	ANY	
Antigua (Saint John's)	 Antigua and Barbuda	ANU	
Antlers	 OK [Antlers Municipal Airport]	ATE	
Antofagasta [Cerro Moreno]	 Chile	ANF	
Antsalova	 Madagascar	WAQ	
Antsirabe	 Madagascar	ATJ	
Antsiranana (Diego Suarez) [Arrachart]	 Madagascar	DIE	
Antsohihy	 Madagascar	WAI	
Antwerpen (Antwerp) [Deurne]	 Belgium	ANR	
Anuha Island [Anuha Island Resort]	 Solomon Islands	ANH	
Anuradhapura	 Sri Lanka	ADP	
Anvik	 AK [Anvik Airport]	ANV	
Anyang	 China	AYN	
Aomori	 Japan	AOJ	
Apalachicola	 FL [Apalachicola Municipal Airport]	AAF	
Apalapsili	 New Guinea	AAS	
Apartado	 Colombia	APO	
Apataki	 Tuamotu Archipelago	APK	
Apatzingan	 Mexico	AZG	
Apeldoorn	 Netherlands	QYP	
Apia [Fabali Si]	 Western Samoa	FGI	
Apia [Faleolo]	 Western Samoa	APW	
Apiay	 Colombia	API	
Apolo	 Bolivia	APB	
Appian Line	 Italy	APJ	
Apple Valley	 CA [Apple Valley Airport]	APV	
Appleton	 WI [Outagamie County Airport]	ATW	
April River	 Papua New Guinea	APR	
Apucarana	 PR	APU	
Aqaba	 Jordan	AQJ	
Aqmola (Tselinograd)	 Aqmola	TSE	
Aqtan (Shevchenko)	 Mangghystan	SCO	
Aqtobe (Aktyubinsk)	 Aqtobe	AKX	
Aracaju	 SE	AJU	
Aracatuba	 SP	ARU	
Arad	 Romania	ARW	
Aragarcas	 GO	ARS	
Aragip	 Papua New Guinea	ARP	
Araguaina	 TO	AUX	
Aramac	 Queensland	AXC	
Aranuka	 Kiribati	AAK	
Arapahoe	 NE [Arapahoe Municipal Airport]	AHF	
Arapongas	 PR	APX	
Arar	 Saudi Arabia	RAE	
Araracuara	 Colombia	ACR	
Araraquara	 SP	AQA	
Ararat	 Victoria	ARY	
Arauca	 Colombia	AUC	
Arauquita	 Colombia	ARQ	
Arawa	 Ethiopia	RAW	
Araxa	 MG	AAX	
Araxos/Patras	 Greece	GPA	
Arba Mintch	 Ethiopia	AMH	
Arboletas	 Colombia	ARO	
Arcadia	 CA [Methodist Hospital Heliport]	JAR	
Arcata/Eureka	 CA [Arcata Airport]	ACV	
Arcos	 MG	QRK	
Arctic Bay	 NT	YAB	
Arctic Red River	 NT [Arctic Red River Water Aerodrome]	ZRR	
Arctic Village	 AK [Arctic Village Airport]	ARC	
Ardmore	 New Zealand	AMZ	
Ardmore	 OK [Ardmore Municipal Airport]	ADM	
Ardmore	 OK [Ardmore Municipal Airport]	AHD	
Arequipa [Rodriguez Ballon]	 Peru	AQP	
Argentia	 NF [Argentia Naval Air Station]	NWP	
Argyle Downs	 Western Australia	AGY	
Aribinda	 Burkina Faso	XAR	
Arica [Chacalluta]	 Chile	ARI	
Arica	 Colombia	ACM	
Aripuana	 MT	AIR	
Ariquemes	 RO	AQM	
Arkalyk	 Kazakhstan	AYK	
Arkhangelsk	 Arkhangelsk	ARH	
Arlington Heights	 IL [U.S. Army Heliport]	JLH	
Arlington	 TX [Arlington Municipal Airport]	WSK	
Arlit	 Niger	RLT	
Arly	 Burkina Faso	ARL	
Armenia	 Colombia	AXM	
Armidale	 New South Wales	ARM	
Armstrong	 ON [Armstrong Airport]	YYW	
Arnes	 MB [Arnes Aerodrome]	YNR	
Arnhem	 Netherlands	QAR	
Arno	 Marshall Islands	AMR	
Aroa	 Papua New Guinea	AOA	
Arona	 Papua New Guinea	AON	
Arorae Island	 Kiribati	AIS	
Arrabury	 Queensland	AAB	
Arraias	 GO	AAI	
Arrecife	 Canary Islands [Lanzarote]	ACE	
Arso	 Indonesia	ARJ	
Arsuk	 Greenland	JRK	
Artesia	 NM [Artesia Municipal Airport]	ATS	
Arthur's Town	 Cat	ATC	
Artigas	 Uruguay	ATI	
Arua	 Uganda	RUA	
Aruba (Oranjestad) [Queen Beatrix Int'l Airport]	 Aruba	AUA	
Arunka	 Kiribati	RNK	
Arusha	 Tanzania	ARK	
Arutha	 French Polynesia	AXR	
Arvidsjaur	 Sweden	AJR	
Asahikawa	 Japan	AKJ	
Asapa	 Papua New Guinea	APP	
Asau	 Western Samoa	AAU	
Asbestos Hill	 QC [Asbestos Aerodrome]	YAF	
Asbury Park/Fort Monmouth	 NJ [Charles Wood Helipad]	ARX	
Ascension Island	 St. Helena	ASI	
Ascension	 Bolivia	ASC	
Ascona	 Switzerland	ACO	
Aseki	 Papua New Guinea	AEK	
Asela	 Ethiopia	ALK	
Ash Flat	 AR [Cherokee Village Airport]	CVK	
Ashburton	 New Zealand	ASG	
Ashcroft	 BC	YZA	
Asheville	 NC [Asheville Regional Airport]	AVL	
Ashford	 United Kingdom	LYM	
Ashgabat (Ashkhabad)	 Ahal	ASB	
Ashland	 WI [John F. Kennedy Memorial Airport]	ASX	
Ashley	 ND [Ashley Municipal Airport]	ASY	
Asirim	 Papua New Guinea	ASZ	
Asmara [Yohannes IV]	 Eritrea	ASM	
Asosa	 Ethiopia	ASO	
Aspen	 CO [Aspen-Pitkin County Airport/Sardy Field]	ASE	
Assab	 Eritrea	ASA	
Assis	 SP	AIF	
Assiut	 Egypt	ATZ	
Astoria	 OR [Port of Astoria Airport]	AST	
Astrakhan	 Astrakhan	ASF	
Astraksetra	 Indonesia	AKQ	
Astypalea Island	 Greece	JTY	
Asuncion [Presidente Stroessner]	 Paraguay	ASU	
Aswan	 Egypt	ASW	
Atalaya	 Peru	ATG	
Atambua [Haliweni]	 Indonesia	ABU	
Ataq	 Yemen	AXK	
Atar	 Mauritania	ATR	
Atauro	 Indonesia	AUT	
Atbara	 Sudan	ATB	
Athens (Athinai) [Hellinikon International Airport]	 Greece	ATH	
Athens	 GA [Athens/Ben Epps Airport]	AHN	
Athens	 TN [McMinn County Airport]	MMI	
Athens/Albany	 OH [Ohio University Airport]	ATO	
Ati	 Chad	ATV	
Atibaia	 SP	QTA	
Atikokan	 ON [Atikokan Municipal Airport]	YIB	
Atiu	 Cook Islands	AIU	
Atka	 AK [Atka Airport]	AKB	
Atkamba	 Papua New Guinea	ABP	
Atlanta (Marietta)	 GA [Galleria Heliport]	JGL	
Atlanta (Norcross)	 GA [Beaver Ruin Airport]	JAO	
Atlanta	 GA [Atlanta Technology Park]	JAE	
Atlanta	 GA [Dekalb-Peachtree Airport]	PDK	
Atlanta	 GA [Fulton County Airport-Brown Field]	FTY	
Atlanta	 GA [Hartsfield Heliport]	JAH	
Atlanta	 GA [HartsfieldInternational Airport]	ATL	
Atlanta	 GA [Perimeter]	JAJ	
Atlantic City	 NJ [Atlantic City International Airport]	ACY	
Atlantic City	 NJ [Atlantic City Municipal Airport/Bader Field]	AIY	
Atlantic City	 NJ [Railway Station]	ZRA	
Atlantic City	 NJ [Steel Pier Taj Mahal Heliport]	JSL	
Atlantic	 IA [Atlantic Municipal Airport]	AIO	
Atmautluak	 AK [Atmautluak Airport]	ATT	
Atoifi	 Solomon Islands	ATD	
Atqasuk	 AK [Atqasuk Airport]	ATK	
Atsugi	 Japan	NJA	
Attawapiskat	 ON [Attawapiskat Airport]	YAT	
Attopeu	 Laos	AOU	
Attu Island	 AK [Casco Gove Coast Guard Station Airport]	ATU	
Atuona	 Marquesas Islands	AUQ	
Atyrau (Guryev)	 Atyrau	GUW	
Aua	 Papua New Guinea	AUI	
Aub Rudeis	 Egypt	AUE	
Aubenas	 France	OBS	
Auburn	 AL [Auburn-Opelika Robert G. Pitts Airport]	AUO	
Auburn	 CA [Auburn Municipal Airport]	AUN	
Auburn/Lewiston	 ME [Auburn/Lewiston Municipal Airport]	LEW	
Auckland [International]	 New Zealand	AKL	
Auckland [Mechanics Bay Seaplane Base]	 New Zealand	MHB	
Audubon	 IA [Audubon County Airport]	ADU	
Augsburg	 Germany	AGB	
Augusta	 GA [Bush Field]	AGS	
Augusta	 GA [Daniel Field]	DNL	
Augusta	 ME [Augusta State Airport]	AUG	
Augustus Downs	 Queensland	AUD	
Auki	 Solomon Islands	AKS	
Aupaluk	 QC	YPJ	
Aur Atoll	 Marshall Islands	AUL	
Aurangabad	 India	IXU	
Aurillac	 France	AUR	
Aurukun Mission	 Queensland	AUU	
Austin	 MN [Austin Municipal Airport]	AUM	
Austin	 NV [Austin Airport]	ASQ	
Austin	 TX [Bergstrom Air Rescue Service Airport]	BSM	
Austin	 TX [Camp Maybry]	MMR	
Austin	 TX [Robert Mueller Municipal Airport]	AUS	
Austral Downs	 Northern Territory	AWP	
Auvergne	 Northern Territory	AVG	
Ava	 MO [Ava Bill Martin Memorial Airport]	AOV	
Avalon (Catalina Island)	 CA [Catalina Airport]	AVX	
Avalon (Catalina Island)	 CA [Peebly Beach Seaplane Base]	SXC	
Avalon (Catalina Island)	 CA [Seaplane Base]	CIB	
Avalon (Catalina Island)	 CA Amphibious Terminal	TWH	
Avarua [Rarotonga International Airport]	 Cook Islands	RAR	
Avellino	 Italy	QVN	
Avenal	 CA [Avenal Airport]	AVE	
Aviano [Aviano Air Base]	 Italy	AVB	
Avignon [Caumont]	 France	AVN	
Avon Park	 FL [Avon Park Municipal Airport]	AVO	
Avon	 CO	AVC	
Avoriaz	 France	AVF	
Avu Avu	 Solomon Islands	AVU	
Awaba	 Papua New Guinea	AWB	
Awar	 Papua New Guinea	AWR	
Awaradam	 Suriname	AAJ	
Awareh	 Ethiopia	AWH	
Awassa	 Ethiopia	AWA	
Axum	 Ethiopia	AXU	
Ayacucho	 Colombia	AYC	
Ayacucho	 Peru	AYP	
Ayapel	 Colombia	AYA	
Ayawasi	 Indonesia	AYW	
Ayer/Fort Devens	 MA [Moore Army Air Field]	AYE	
Ayers Rock	 Northern Territory	AYQ	
Ayia Napa	 Cyprus	QNP	
Ayr	 Queensland	AYR	
Ba	 Fiji	BFJ	
Babelegi	 South Africa	HBL	
Babo	 Indonesia	BXB	
Babolsar	 Iran	BBL	
Baca Grande	 CO	BCJ	
Bacau	 Romania	BCM	
Baco/Jinka	 Ethiopia	BCO	
Bacolod	 Philippines	BCD	
Badajoz [Talavera La Real]	 Spain	BJZ	
Bade	 Indonesia	BXD	
Baden Baden [Railway Station]	 Germany	ZCC	
Badin	 Pakistan	BDN	
Badu Island	 Queensland	BDD	
Bafoussem	 Cameroon	BFX	
Bagana	 Philippines	BNQ	
Bagdogra	 India	IXB	
Bage	 RS	BGX	
Baghdad [Metropolitan Area]	 Iraq	BGT	
Baghdad [Saddam International]	 Iraq	SDA	
Baghdad	 Iraq	BGW	
Baglung	 Nepal	BGL	
Bagotville	 QC [Bagotville Airport]	YBG	
Baguio	 Philippines	BAG	
Bahar Dar	 Ethiopia	BJR	
Bahawalnagar	 Pakistan	WGB	
Bahawalpur	 Pakistan	BHV	
Bahia Angeles	 Mexico	BHL	
Bahia Blanca [Comandante Espora]	 Argentina	BHI	
Bahia Cupica	 Colombia	BHF	
Bahia Solano	 Colombia	BSC	
Bahrain [Muharraq International]	 Bahrain	BAH	
Bahregan	 Iran	IAQ	
Baia de Caraquez	 Ecuador	BHA	
Baia Mape	 Romania	BAY	
Baibara	 Papua New Guinea	BAP	
Baidoa	 Somalia	BIB	
Baie-Comeau	 QC [Baie-Comeau Airport]	YBC	
Baie Johan Beetz	 QC [B. J. B. Water Aerodrome]	YBJ	
Baimuru	 Papua New Guinea	VMU	
Bainbridge	 GA [Decatur County Industrial Air Park]	BGE	
Baindoung	 Papua New Guinea	BDZ	
Bairnsdale	 Victoria	BSJ	
Baitadi	 Nepal	BIT	
Baiyer River	 Papua New Guinea	BYV	
Bajawa	 Indonesia	BJW	
Bajhang	 Nepal	BJH	
Bajone	 Mozambique	BJN	
Bajura	 Nepal	BJU	
Bakalalan	 Sarawak	BKM	
Bakel	 Senegal	BXE	
Baker City	 OR [Baker City Municipal Airport]	BKE	
Baker Island	 Baker Island	BAR	
Baker Lake	 NT [Baker Lake Airport]	YBK	
Bakersfield	 CA [Meadows Field]	BFL	
Baki (Baku)	 Naxcivan	BAK	
Bakkafjordur	 Iceland	BJD	
Bakouma	 Central African Republic	BMF	
Balakovo	 Saratov	BWO	
Balalae	 Solomon Islands	BAS	
Balboa	 Panama	BLB	
Balboa/Fort Kobbe [Howard Air Force Base]	 Panama	HOW	
Balcanoona	 South Australia	LCN	
Baler	 Philippines	BQA	
Balgo Hills	 Western Australia	BQW	
Balhash	 Kazakhstan	BXH	
Bali	 Cameroon	BLC	
Bali	 Papua New Guinea	BAJ	
Balikesir	 Turkey	BZI	
Balikpapan [Sepinggan]	 Indonesia	BPN	
Balimo	 Papua New Guinea	OPU	
Ballina	 New South Wales	BNK	
Ballykelly	 Northern Ireland	BOL	
Balmaceda	 Chile	BBA	
Balranald	 New South Wales	BZD	
Balsas	 MA	BSS	
Baltimore	 MD [Baltimore/Washington Int'l Airport]	BWI	
Baltimore	 MD [Martin State Airport]	MTN	
Baltra Island	 Galapagos	WGL	
Baltrum	 Germany	BMR	
Balurghat	 India	RGH	
Bamako [Senou]	 Mali	BKO	
Bambari	 Central African Republic	BBY	
Bamburi	 Kenya	BMQ	
Bamenda [Bali]	 Cameroon	BPC	
Bamerny	 Iran	BMN	
Bamfield	 BC [Bamfield Water Aerodrome]	YBF	
Bamiyan	 Afghanistan	BIN	
Bamu	 Papua New Guinea	BMZ	
Ban Houei Sai	 Laos	QUI	
Ban Mak Khaeng	 Thailand	BAO	
Ban Me Thout	 Vietnam	BMV	
Banaina	 Indonesia	NAF	
Banda Aceh (Kuturaja) [Blang Bintang]	 Indonesia	BTJ	
Bandanaira	 Indonesia	NDA	
Bandar Abbas	 Iran	BND	
Bandar Lampung	 Indonesia	TKG	
Bandar Lengeh	 Iran	BDH	
Bandar Seri Begwan [International]	 Brunei	BWN	
Bandirma	 Turkey	BDM	
Bandon	 OR [Bandon State Airport]	BDY	
Bandundu	 Zaire	FDU	
Bandung	 Indonesia	BDO	
Banff	 AB [Banff Airport]	YBA	
Banfora	 Burkina Faso	BNR	
Bangalore	 India	BLR	
Bangassou	 Central African Republic	BGU	
Bangkok [Don Muang International Airport]	 Thailand	BKK	
Bangor	 ME [Bangor International Airport]	BGR	
Bangui [M'Poko]	 Central African Republic	BGF	
Banja Luka	 Bosnia-Herzegovina	BNX	
Banjarmarsin [Syamsudin Noor]	 Indonesia	BDJ	
Banjul [Yundum]	 Gambia	BJL	
Bankstown	 New South Wales	BWU	
Banmethuot	 Vietnam	BWV	
Banning	 CA [Banning Municipal Airport]	BNG	
Bannu	 Pakistan	BNP	
Bantry	 Ireland	BYT	
